"gender","round","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","age","field_cd","mn_sat","tuition","race","imprace","income","goal","date","go_out","dec","like","imprelig","university","diff_age"
"F",10,4,"N",0.14,"N",27,"Cauc",35,20,20,20,0,5,"Y",14,18,18,18,18,14,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",7,4,"Y",6
"F",10,3,"N",0.54,"N",22,"Cauc",60,0,0,40,0,0,"Y",16,18,23,16,16,11,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",7,4,"Y",1
"F",10,10,"Y",0.16,"Y",22,"Asian",19,18,19,18,14,12,"Y",17,17,17,17,17,17,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",7,4,"Y",1
"F",10,5,"Y",0.61,"N",23,"Cauc",30,5,15,40,5,5,"Y",14,16,18,16,18,16,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",7,4,"Y",2
"F",10,7,"Y",0.21,"N",24,"Latin",30,10,20,10,10,20,"Y",17,15,20,13,20,15,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",6,4,"Y",3
"F",10,6,"N",0.25,"N",25,"Cauc",50,0,30,10,0,10,"N",16,16,18,18,16,16,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","N",6,4,"Y",4
"F",10,1,"N",0.34,"N",30,"Cauc",35,15,25,10,5,10,"Y",8,17,19,14,22,19,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",6,4,"Y",9
"F",10,2,"N",0.5,"N",27,"Cauc",33,11,11,11,11,22,"N",16,18,13,16,21,16,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","N",6,4,"Y",6
"F",10,8,"Y",0.28,"N",28,"Cauc",50,0,25,10,0,15,"Y",15,15,17,17,17,19,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",7,4,"Y",7
"F",10,9,"N",-0.36,"N",24,"Cauc",100,0,0,0,0,0,"Y",17,17,17,17,17,17,21,"Law",0,0,"Asian",2,69487,"Meet","Never","SevWeek","Y",6,4,"Y",3
"F",10,10,"N",0.29,"Y",27,"Cauc",35,20,20,20,0,5,"N",20,17,15,22,17,10,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","N",6,5,"Y",3
"F",10,9,"N",0.18,"Y",22,"Cauc",60,0,0,40,0,0,"N",18,15,25,15,15,12,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","N",7,5,"Y",2
"F",10,6,"N",0.1,"N",22,"Asian",19,18,19,18,14,12,"N",17,17,17,17,17,17,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","N",6,5,"Y",2
"F",10,1,"Y",-0.21,"Y",23,"Cauc",30,5,15,40,5,5,"Y",17,17,17,17,17,17,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","Y",7,5,"Y",1
"F",10,3,"N",0.32,"N",24,"Latin",30,10,20,10,10,20,"N",18,18,18,18,13,15,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","N",8,5,"Y",0
"F",10,2,"N",0.73,"Y",25,"Cauc",50,0,30,10,0,10,"N",17,20,17,12,17,17,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","N",6,5,"Y",1
"F",10,7,"N",0.6,"Y",30,"Cauc",35,15,25,10,5,10,"Y",22,13,17,13,22,13,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","Y",8,5,"Y",6
"F",10,8,"N",0.07,"Y",27,"Cauc",33,11,11,11,11,22,"N",18,18,18,18,18,12,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","N",5,5,"Y",3
"F",10,4,"Y",0.11,"Y",28,"Cauc",50,0,25,10,0,15,"Y",17,13,19,19,17,15,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","Y",5,5,"Y",4
"F",10,5,"N",0.39,"Y",24,"Cauc",100,0,0,0,0,0,"Y",15,12,17,17,22,17,24,"Law",0,0,"Cauc",2,65929,"Fun","1Month","SevWeek","Y",8,5,"Y",0
"F",10,6,"N",-0.24,"Y",27,"Cauc",35,20,20,20,0,5,"N",18,21,16,13,21,11,25,"Math",0,0,"Cauc",8,48652,"Other","1Week","SevWeek","N",8,4,"Y",2
"F",10,5,"N",-0.14,"Y",22,"Cauc",60,0,0,40,0,0,"N",15,18,25,15,15,12,25,"Math",0,0,"Cauc",8,86340,"Other","1Week","SevWeek","N",8,4,"Y",3
"F",10,2,"N",0.09,"N",22,"Asian",19,18,19,18,14,12,"N",17,17,17,17,17,17,25,"Math",0,0,"Cauc",8,48652,"Other","1Week","SevWeek","N",8,4,"Y",3
"F",10,7,"N",-0.04,"Y",23,"Cauc",30,5,15,40,5,5,"N",15,19,17,17,17,17,25,"Math",0,0,"Cauc",8,48652,"Other","1Week","SevWeek","N",8,4,"Y",2
"F",10,9,"N",-0.14,"N",24,"Latin",30,10,20,10,10,20,"N",14,23,18,14,20,11,25,"Math",0,0,"Cauc",8,86340,"Other","1Week","SevWeek","N",9,4,"Y",1
"F",10,8,"N",-0.3,"Y",25,"Cauc",50,0,30,10,0,10,"N",19,16,16,16,16,16,25,"Math",0,0,"Cauc",8,86340,"Other","1Week","SevWeek","N",8,4,"Y",0
"F",10,3,"N",-0.26,"Y",30,"Cauc",35,15,25,10,5,10,"N",22,11,19,15,19,15,25,"Math",0,0,"Cauc",8,48652,"Other","1Week","SevWeek","N",8,4,"Y",5
"F",10,4,"N",0.29,"Y",27,"Cauc",33,11,11,11,11,22,"N",14,17,21,14,21,14,25,"Math",0,0,"Cauc",8,48652,"Other","1Week","SevWeek","N",8,4,"Y",2
"F",10,10,"N",-0.15,"Y",28,"Cauc",50,0,25,10,0,15,"N",17,17,14,19,17,17,25,"Math",0,0,"Cauc",8,69487,"Other","1Week","SevWeek","N",9,4,"Y",3
